,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bacillariophyta,6.78381718,1.035546475,1.83705581,1.387044645,NA,0.121605716666667,0.0164,0.32785,0,0.0046,0.0202,0.001,0.0313,0.18435,3.0728,13.4223805,1.113264705,4.201544095,1.96710789,2.84943625,0.16901878,1.474816965,0.0379773933333333,0.020812295,0.20104185
Cryptophyta,0.02367499,0.008457465,0.01624868,0.03353848,NA,0.00530303666666667,0.0316,0.01395,0.0067,0.00455,0.02095,0.0126,0.0073,0.07675,0.0415,0.00943658,0.03333316,0.074933885,0.09726297,0.12686168,0.09182039,0.034915215,0.0507893266666667,0.04944742,0.009907895
Cyanophyta,0.29616244,0.688856725,0.38644236,3.314319185,NA,0.02943038,0.2686,0.23705,0.1384,1.14445,1.7453,0.0897,0.3676,0.10065,0.9451,0.58873415,1.15091328,0.040540935,0.41735497,1.02526488,1.16555006,1.617125575,0.74890274,0.831424445,0.765735205
Chlorophyta,0.01126041,0.003259145,0.05772239,0.009458405,NA,0.00310754333333333,7e-04,7e-04,0.0016,5e-04,0.00575,0.0178,0.0065,0.0363,0.0019,0.00166738,0.01451301,0.082185525,0.147158,0.1337242,0.147367045,0.02459768,0.0276849233333333,0.010419585,0.01710566
Chrysophyta,0,0,0.00704862,0.00242092,NA,0.000233333333333333,9e-04,2e-04,0,8e-04,0.00295,2e-04,7e-04,0.0015,0.0065,0.00608057,0.00644997,0.015146715,0.01316487,0.00047893,0.009090685,0.00102627,0.0019561,3.7665e-05,0.002831095
Pyrrhophyta,0,0,0,0,NA,0,0.001,0,0,0,0.00475,0,0,0,0,0,0,0,0,0.0061728,0.07068916,0.00045612,0.00026607,0,0.00022806
other,0.01547777,0.0100073,0.00978975,0.008792645,NA,9.669e-05,2e-04,0,0,0,0.00605,0,0,0,0,0,0.00071945,0.035133325,0.01301274,0.00461045,0.012422595,0.002878995,0.00437348666666667,0.00012807,0.000182955
