,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bacillariophyta,0.6655986575,2.661410915,1.22654838333333,0.319044055,0.63664513,0.833350235,0.620633333333333,0.396975,0.421833333333333,0.71275,0.0371,0.774933333333333,3.2104,0.2339,2.406625,4.110275335,0.508774565,1.196991,0.87231232,0.894622075,0.713623625,0.56862613,0.36841003,4.11397329,4.90782056
Cryptophyta,0.0813561975,0.048813665,0.41071261,0.28025906,0.25518666,0.1666,0.0351333333333333,0.0286,0.1556,0.2447,0.0396,0.199766666666667,0.1787,0.1641,0.25355,0.1625792,0.0880417975,0.10168089,0.0265182,0.29387312,0.17699567,0.35546798,0.23956553,0.0707393433333333,0.28841877
Cyanophyta,0.06869002,0.008842145,0.00687534666666667,0.0059472,0.060970485,0.01209255,0.0321666666666667,0.034675,0.0119,0.0087,0.1016,0.0136333333333333,0.0066,0.00825,0.16095,0.052577255,0.176674365,0.01851154,0.01812653,0.083364925,0.63476316,0.412984075,0.10304692,0.02275402,0.01456235
Chlorophyta,0.0880676725,0.024035025,0.0653392833333333,0.006286405,0.056238785,0.03454949,0.00383333333333333,0.046725,0.0256666666666667,0.0411,0.055775,0.0321,0.01585,0.0059,0.1156,0.07851706,0.2301122025,0.18533223,0.07355037,0.119722405,0.114392975,0.17291421,0.38585622,0.12117275,0.02367895
Chrysophyta,0.0104139175,0.00257837,0.136493666666667,0.01676649,0.04300376,0.037052605,0.00246666666666667,0.005575,0.0101333333333333,0.0699,0.010425,0.057,0.01745,0.0264,0.053275,0.03065046,0.044994135,0.00465123,0.00955898,0.00149664,0.01003746,0.023929415,0.0208125,0.0338607033333333,0.00521544
Pyrrhophyta,0.01709913,0.1119802,0.0247892133333333,0,0.0153605225,0.03007291,0,1e-04,0.0136666666666667,0.0156,0.00265,0.0124666666666667,0.0077,0,0.070825,0.04016209,0.0118391825,0.0643532,0.02535223,0.06345328,0.04132826,0.01427903,0.12079293,0.0124268966666667,0.07953689
other,0.0323938,0.062806225,0.0406818433333333,0.00874344,0.0144852025,0.0139232,0.00396666666666667,0.000525,0.00126666666666667,0.0024,0.003325,0.0023,0.00105,0,0.020625,0.00221724,3.3565e-05,0.00051227,0.10491424,0.19450328,0.07491978,0.13103463,0.10501576,0.0609875533333333,0.00051227
