,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bacillariophyta,0.005025838,0.231250135,0.8847520775,0.341218216363636,0.0747941245454545,0.224844012,0.00251,0.00714285714285714,0.0129,0.077,0.0259333333333333,0.0187181818181818,0.0237,0.28492,0.376811111111111,0.146453597,0.808414548,0.117049557,0.349319367,0.184361340909091,0.035853589,0.883519501818182,0.293074406923077,0.093779725,0.272350526363636
Cryptophyta,0.036575917,0.3517378,0.21984970375,0.0256348327272727,0.0280439645454545,0.018911733,0.01043,0.0311714285714286,0.02613,0.03069,0.0322444444444444,0.0190636363636364,0.03944,0.02422,0.0297777777777778,0.04049779,0.063445988,0.062847655,0.101218163,0.0883556981818182,0.051728018,0.0728186254545455,0.157410410769231,0.043083297,0.160412600909091
Cyanophyta,1.461347427,1.303353357,3.00270416125,2.42742423,3.90385626909091,2.442814244,0.82117,1.18895714285714,1.66474,2.15055,1.01993333333333,1.64586363636364,5.82959,3.2168,1.65104444444444,2.892747331,0.519141368,1.558523456,4.43274622,4.97304498909091,0.683704508,3.74436288363636,3.28658331923077,7.768943407,2.73368978
Chlorophyta,0.05785949,0.203467989,0.01529086375,0.0245095990909091,0.0555461436363636,0.029718832,0.04388,0.133571428571429,0.01544,0.10846,0.0541222222222222,0.0253272727272727,0.02099,0.03065,0.209055555555556,0.026736156,0.119661188,0.08824495,0.143757513,0.16541051,0.422571756,0.157749650909091,0.100328926923077,0.287587794,0.0715021709090909
Chrysophyta,0.002289769,0.000273459,0.01079110875,0.0034407,0.000422520909090909,0.000116227,0.00043,0.000714285714285714,0.00634,0.00201,0.00627777777777778,0.00167272727272727,0.003,0.00399,0.0142777777777778,0.007577911,0.013333525,0.001164939,0.007052054,0.0530873036363636,0.005444836,0.00783428636363636,0.00130204307692308,0.001041084,0.00174541818181818
Pyrrhophyta,0.004317142,0,0.01141215875,0.00165868454545455,0.00222408727272727,6.6006e-05,0,0.000357142857142857,0.00607,3e-05,0.000388888888888889,0.0014,0,0.00311,0.00253333333333333,0.000141903,0.000319283,0.010766139,0.008230015,0.0274788536363636,0.01662155,0.0312517218181818,0.11722004,0.00323074,0.00360133727272727
other,0.010058238,0.018573998,0.0236449625,0.00837339636363636,0.0100897063636364,0.00178391,0.00138,0.000128571428571429,0.0169,0.00117,0,0.000481818181818182,0.00107,0,0.00118888888888889,0.000266069,0.000741987,0.043051739,0.104936243,0.0932567909090909,0.07629075,0.0819858063636364,0.0346315423076923,0.016334623,0.0511162154545454
