year,timelag,id
1996,51,ME
1997,60,ME
1998,52,ME
1999,58,ME
2000,52,ME
2001,37,ME
2002,63,ME
2003,53,ME
2004,34,ME
2005,63,ME
2006,40,ME
2007,54,ME
2008,51,ME
2009,52,ME
2010,26,ME
2011,32,ME
2012,38,ME
2013,36,ME
2014,46,ME
2015,41,ME
2016,64,ME
2017,38,ME
2018,58,ME
2019,51,ME
2020,25,ME
2021,7,ME
