year,AF,Volume,id
1996,58.412797992471766,1163875000,ME
1997,48.5771643663739,967900000,ME
1998,72.46298619824341,1443825000,ME
1999,54.30112923462986,1081950000,ME
2000,62.569636135508155,1246700000,ME
2001,54.05144291091594,1076975000,ME
2002,44.24090338770389,881500000,ME
2003,49.431618569636136,984925000,ME
2004,56.099121706398996,1117775000,ME
2005,59.484316185696365,1185225000,ME
2006,54.744040150564615,1090775000,ME
2007,60.45420326223338,1204550000,ME
2008,59.219573400250944,1179950000,ME
2009,53.307402760351316,1062150000,ME
2010,67.32998745294856,1341550000,ME
2011,62.83688833124216,1252025000,ME
2012,65.08657465495608,1296850000,ME
2013,63.89335006273526,1273075000,ME
2014,62.91969887076537,1253675000,ME
2015,64.75533249686323,1290250000,ME
2016,75.04516938519448,1495275000,ME
2017,73.03136762860727,1455150000,ME
2018,68.09410288582183,1356775000,ME
2019,53.637390213299874,1068725000,ME
2020,62.71518193224592,1249600000,ME
2021,77.27478042659975,1539700000,ME
