year,pH,PO4.P_surf,PO4.P_bot,NO3.NO2.N_surf,NO3.NO2.N_bot,RSi
1996,8.43160422900853,0.06391335039683092,0.24260694460724588,0.2802317241158783,0.3490894607435981,1.2602411405533225
1997,8.642845641480585,0.08200794636770763,0.26270034954348204,0.2216869547927267,0.178915029873919,1.183026609875074
1998,8.546060751004847,0.09245599050860338,0.24076873445708108,0.15706602516265544,0.15629190532625595,1.2304522355438747
1999,8.488420528615134,0.059010381021277196,0.27027704872469877,0.24817133936463948,0.24370442665420944,1.182504151327742
2000,8.511431390787173,0.06258340195008957,0.23298274000648547,0.2024724239872794,0.17744585790864195,0.9927998811842553
2001,8.551508087232751,0.05616207408647476,0.24877406333376664,0.25312447315332487,0.24789624045443315,1.4109794380025344
2002,8.589658365860561,0.04303879190035889,0.2154103071600381,0.3591961069506298,0.3506526281146548,1.5664483654734216
2003,8.894456758597356,0.03705305885013492,0.31790667589986327,0.14716355466157413,0.14763182114212617,1.4967273679940538
2004,8.685742284963844,0.03715997224863971,0.21410623149045654,0.2205279725733434,0.2619102023203979,1.5394780600605893
2005,8.65584230721182,0.053838299384354416,0.2961750468617448,0.2920316305410211,0.38305104185548233,3.0109289814137807
2006,8.578390961963848,0.06655228204189034,0.3143236934920982,0.13972663944511954,0.209952443071562,2.8552566896678906
2007,8.534298843013952,0.052807242782127055,0.2795230090806288,0.16883631148320147,0.18792317740900105,1.7663076964378248
2008,8.755077168087862,0.04867160954354401,0.28353680918616103,0.37641911104098796,0.2830755373343344,1.60276444841701
2009,8.607748300063037,0.061738548916412166,0.2518588265761525,0.6292695500338537,0.7104527837239192,3.3206629068738502
2010,8.716635785518292,0.031053130948846642,0.2270549349592586,0.16525881207504364,0.16899662180504046,0.8590084287522597
2011,8.384171276427326,0.03664794822115173,0.23725573867925476,0.341935730614032,0.23904140949492667,1.7888642132487793
2012,8.472939572088537,0.01979740660007658,0.24154855276214718,0.1830513675314368,0.1467663148704628,2.1032339185455498
2013,8.471466273550579,0.027485167388597128,0.21304526245469294,0.21213220509596542,0.17818718680584275,1.2656864815377185
2014,8.431737529460126,0.027340784078735723,0.16010906505797845,0.2288904959585889,0.245014819145206,0.22376519517165094
2015,8.505982111633127,0.02567636870103647,0.21614466592293208,0.12691870997144217,0.14942677174539062,0.8751915358083043
2016,8.534053699961381,0.028477606565484946,0.17902657021113583,0.16710541334068132,0.18072979783821103,1.5649370729529961
2017,8.890071032746558,0.024430117316634355,0.23017983396099734,0.194900820115138,0.15930300759525748,2.2227499463409894
2018,8.853714206854933,0.038227701339999955,0.21478300152076665,0.27156558543057324,0.402230455662013,1.926468164622293
2019,NA,0.06547228330052764,0.2887389230002405,0.4805973178549892,0.3886962250091676,1.9371226351859723
2020,NA,0.05727632014870962,0.22686357142724212,0.3514032307078293,0.28929502407936797,2.1144982739470275
2021,NA,NA,NA,NA,NA,NA
