year,stoch_surf,stoch_bottom
1995,2.2043008616158817,NA
1996,1.893453378959599,0.8749007298158643
1997,1.0371661936160714,0.6513683781335098
1998,0.9410071161441474,0.6238053623387906
1999,1.4099652845279915,1.0616761197309503
2000,1.7131618408522868,1.1782914224539975
2001,2.1698797452844567,1.4678007359801688
2002,2.9484951119173624,2.3953049258562564
2003,2.535842565251097,1.5757906588879431
2004,2.397682543673623,1.7192831464457798
2005,1.9980922656967526,1.5599549106561035
2006,0.8844079187830243,0.6755520930708414
2007,1.4084749703588944,1.0653511557766653
2008,3.7654997881415624,2.9386289011033315
2009,3.4303806214819503,2.5301794022568704
2010,4.049084733979955,3.764641473281025
2011,6.856546727381051,4.395563194216493
2012,4.125092113579338,2.6300036997298384
2013,4.530102979319333,3.2539211777363524
2014,4.325985639566143,2.630689255825481
2015,2.563368250084159,1.709122459381796
2016,4.460581198633315,3.256183599940419
2017,3.2304775899606764,2.1554617043104405
2018,2.576158152920368,1.8851864937441267
2019,3.131098015281405,2.337352038090368
2020,2.2112781256883385,1.0732116865749832
2021,4.598551681105466,2.974803563303656
