year,linear,constant.high,constant.low,spline
1996,2000-11-01,2000-11-08,2000-10-17,2000-11-01
1997,2000-10-26,2000-10-29,2000-10-01,2000-10-24
1998,2000-11-12,2000-11-22,2000-10-27,2000-11-11
1999,2000-10-20,2000-10-25,2000-10-07,2000-10-16
2000,2000-11-10,2000-11-28,2000-10-25,2000-11-09
2001,2000-10-20,2000-10-21,2000-09-26,2000-10-19
2002,2000-10-19,2000-10-20,2000-09-23,2000-10-18
2003,2000-10-23,2000-10-26,2000-09-29,2000-10-20
2004,2000-10-29,2000-11-03,2000-10-06,2000-10-27
2005,2000-10-30,2000-11-01,2000-09-26,2000-10-29
2006,2000-10-25,2000-10-29,2000-10-02,2000-10-19
2007,2000-11-05,2000-11-25,2000-10-29,2000-11-01
2008,2000-10-28,2000-10-29,2000-09-30,2000-10-28
2009,2000-10-23,2000-10-27,2000-09-30,2000-10-22
2010,2000-11-04,2000-11-08,2000-10-05,2000-11-02
2011,2000-10-25,2000-10-30,2000-10-03,2000-10-19
2012,2000-10-25,2000-10-29,2000-10-02,2000-10-20
2013,2000-10-26,2000-10-28,2000-09-30,2000-10-25
2014,2000-10-28,2000-10-29,2000-09-28,2000-10-28
2015,2000-10-31,2000-11-01,2000-10-07,2000-10-31
2016,2000-12-03,2001-01-01,2000-11-10,2000-11-22
2017,2000-10-31,2000-11-01,2000-10-04,2000-10-28
2018,2000-10-25,2000-10-28,2000-10-18,2000-10-24
2019,2000-10-25,2000-10-27,2000-10-04,2000-10-24
2020,2000-10-30,2000-11-03,2000-10-09,2000-10-29
2021,2000-11-03,2000-11-03,2000-10-19,2000-11-03
